"","X","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G"
"418",418,418,"wayne ellington","SG",27,"LAL",65,36,25.8,3.9,9.5,"0.412",1.4,3.7,"0.37",2.5,5.8,"0.439","0.485",0.8,1,"0.813",0.5,2.8,3.2,1.6,0.5,0,0.8,1.2,10
"419",419,419,"monta ellis","SG",29,"DAL",80,80,33.7,7.5,16.9,"0.445",1,3.6,"0.285",6.5,13.4,"0.487","0.475",2.9,3.8,"0.752",0.4,2,2.4,4.1,1.9,0.3,2.5,2.5,18.9
"420",420,420,"tyreke evans","SG",25,"NOP",79,76,34.1,6.6,14.7,"0.447",0.9,2.9,"0.304",5.7,11.9,"0.482","0.477",2.6,3.7,"0.694",1,4.2,5.3,6.6,1.3,0.5,3.1,2.5,16.6
"421",421,421,"evan fournier","SG",22,"ORL",58,32,28.6,4.4,9.9,"0.44",1.5,3.9,"0.378",2.9,6,"0.48","0.514",1.8,2.5,"0.728",0.5,2.2,2.6,2.1,0.7,0,1.4,2,12
"422",422,422,"randy foye","SG",31,"DEN",50,21,21.7,3,8,"0.368",1.9,5.3,"0.357",1.1,2.8,"0.388","0.485",0.9,1.1,"0.818",0.2,1.5,1.7,2.4,0.7,0.2,1.2,1.9,8.7
"423",423,423,"jamaal franklin","SG",23,"DEN",3,0,4.3,0.3,0.7,"0.5",0.3,0.7,"0.5",0,0,"NA","0.75",0,0,"NA",0.3,0.3,0.7,1,0,0.3,1,1.3,1
"424",424,424,"manu ginobili","SG",37,"SAS",70,0,22.7,3.6,8.4,"0.426",1.3,3.7,"0.345",2.3,4.7,"0.489","0.502",2.1,2.9,"0.721",0.4,2.6,3,4.2,1,0.3,2.2,2,10.5
"425",425,425,"archie goodwin","SG",20,"PHO",41,2,13,1.9,4.9,"0.393",0.3,1,"0.293",1.6,3.9,"0.419","0.423",1.5,2,"0.735",0.7,1.1,1.8,1.1,0.4,0.2,1.2,1.3,5.6
"426",426,426,"ben gordon","SG",31,"ORL",56,0,14.1,2.3,5.3,"0.437",0.6,1.7,"0.361",1.7,3.5,"0.475","0.497",1,1.2,"0.836",0.1,1,1.1,0.9,0.3,0,1,1.1,6.2
"427",427,427,"eric gordon","SG",26,"NOP",61,60,33.1,4.7,11.4,"0.411",2.3,5.2,"0.448",2.4,6.2,"0.38","0.512",1.8,2.2,"0.805",0.5,2.1,2.6,3.8,0.8,0.2,2,2.4,13.4
"428",428,428,"danny green","SG",27,"SAS",81,80,28.5,4,9.1,"0.436",2.4,5.6,"0.418",1.6,3.5,"0.466","0.566",1.4,1.6,"0.874",0.7,3.6,4.2,2,1.2,1.1,1.1,2,11.7
"429",429,429,"gerald green","SG",29,"PHO",74,4,19.5,4.4,10.5,"0.416",1.9,5.2,"0.354",2.5,5.3,"0.478","0.504",1.3,1.6,"0.825",0.4,2.1,2.5,1.2,0.6,0.2,1.4,2,11.9
"430",430,430,"willie green","SG",33,"ORL",52,2,18.3,2.3,5.9,"0.386",0.8,2.3,"0.347",1.5,3.6,"0.411","0.454",0.5,0.7,"0.824",0.3,1.3,1.5,1.3,0.5,0.1,0.9,1.6,5.9
"431",431,431,"p.j. hairston","SG",22,"CHO",45,2,15.3,1.9,6,"0.323",1.1,3.6,"0.301",0.8,2.4,"0.358","0.414",0.7,0.8,"0.861",0.5,1.6,2,0.5,0.5,0.3,0.5,1.4,5.6
"432",432,432,"tim hardaway","SG",22,"NYK",70,30,24,4,10.2,"0.389",1.7,5.1,"0.342",2.3,5.2,"0.435","0.474",1.8,2.2,"0.801",0.2,2.1,2.2,1.8,0.3,0.2,1.2,1.7,11.5
"433",433,433,"james harden","SG",25,"HOU",81,81,36.8,8,18.1,"0.44",2.6,6.9,"0.375",5.4,11.3,"0.48","0.511",8.8,10.2,"0.868",0.9,4.7,5.7,7,1.9,0.7,4,2.6,27.4
"434",434,434,"gary harris","SG",20,"DEN",55,6,13.1,1.2,3.9,"0.304",0.4,1.9,"0.204",0.8,2.1,"0.395","0.353",0.6,0.9,"0.745",0.4,0.8,1.2,0.5,0.7,0.1,0.7,1.3,3.4
"435",435,435,"joe harris","SG",23,"CLE",51,1,9.7,0.9,2.4,"0.4",0.6,1.6,"0.369",0.3,0.7,"0.472","0.529",0.2,0.3,"0.6",0.1,0.7,0.8,0.5,0.1,0,0.5,1.2,2.7
"436",436,436,"gerald henderson","SG",27,"CHO",80,72,28.9,4.6,10.6,"0.437",0.6,1.7,"0.331",4.1,8.9,"0.457","0.463",2.3,2.7,"0.848",0.5,3,3.4,2.6,0.6,0.3,1.4,1.7,12.1
"437",437,437,"kirk hinrich","SG",34,"CHI",66,22,24.4,2.2,5.8,"0.373",0.9,2.5,"0.345",1.3,3.2,"0.394","0.449",0.5,0.8,"0.7",0.3,1.5,1.8,2.2,0.7,0.2,1.1,2.2,5.7
"438",438,438,"justin holiday","SG",25,"GSW",59,4,11.1,1.5,4,"0.387",0.6,1.8,"0.321",0.9,2.1,"0.444","0.462",0.6,0.8,"0.822",0.2,1,1.2,0.8,0.7,0.2,0.5,0.9,4.3
"439",439,439,"rodney hood","SG",22,"UTA",50,21,21.3,3.1,7.5,"0.414",1.2,3.4,"0.365",1.9,4.1,"0.456","0.497",1.2,1.6,"0.763",0.2,2.2,2.3,1.7,0.6,0.2,0.9,2.4,8.7
"440",440,440,"lester hudson","SG",30,"LAC",5,0,11.2,1.2,2.8,"0.429",0.6,1.2,"0.5",0.6,1.6,"0.375","0.536",0.6,0.8,"0.75",0.2,1.4,1.6,1,1.2,0.2,0.6,0.8,3.6
"441",441,441,"john jenkins","SG",23,"ATL",24,3,12.4,2,4.1,"0.495",0.9,2.2,"0.404",1.2,2,"0.596","0.601",0.7,0.8,"0.842",0.1,1.5,1.6,0.5,0.4,0,0.3,0.6,5.6
"442",442,442,"joe johnson","SG",33,"BRK",80,80,34.9,5.6,12.8,"0.435",1.5,4.2,"0.359",4.1,8.6,"0.472","0.494",1.8,2.2,"0.801",0.7,4.1,4.8,3.7,0.7,0.2,1.7,1.5,14.4
"443",443,443,"nick johnson","SG",22,"HOU",28,0,9.4,0.9,2.7,"0.347",0.2,0.8,"0.238",0.8,1.9,"0.389","0.38",0.6,0.9,"0.68",0.5,0.9,1.4,0.4,0.3,0.1,0.7,1.2,2.6
"444",444,444,"tyler johnson","SG",22,"MIA",32,2,18.8,2.2,5.2,"0.419",0.6,1.5,"0.375",1.6,3.7,"0.437","0.473",1,1.5,"0.681",0.4,2.1,2.5,1.3,1,0.3,0.9,1.3,5.9
"445",445,445,"sergey karasev","SG",21,"BRK",33,16,16.8,1.6,4.1,"0.403",0.5,1.6,"0.296",1.2,2.4,"0.475","0.463",0.9,1.2,"0.763",0.7,1.3,2,1.4,0.7,0,0.7,1.4,4.6
"446",446,446,"sean kilpatrick","SG",25,"MIN",4,0,18,1.8,5,"0.35",1,3.3,"0.308",0.8,1.8,"0.429","0.45",1,1,"1",0.3,1.3,1.5,1,0.8,0,0.5,0.8,5.5
"447",447,447,"kyle korver","SG",33,"ATL",75,75,32.2,3.9,8,"0.487",2.9,6,"0.492",0.9,2,"0.47","0.671",1.4,1.6,"0.898",0.2,3.9,4.1,2.6,0.7,0.6,1.4,1.9,12.1
"448",448,448,"jeremy lamb","SG",22,"OKC",47,8,13.5,2.2,5.3,"0.416",0.8,2.4,"0.342",1.4,3,"0.475","0.492",1,1.2,"0.891",0.2,2.1,2.3,0.9,0.4,0.1,0.6,1.1,6.3
"449",449,449,"ricky ledo","SG",22,"TOT",17,0,14.4,1.9,5.6,"0.333",0.6,1.6,"0.37",1.3,4.1,"0.319","0.385",0.9,1.3,"0.727",0.9,1.2,2.1,1.1,0.4,0.1,1.5,1.2,5.3
"450",450,450,"courtney lee","SG",29,"MEM",77,74,30.6,3.7,8.4,"0.448",1.2,2.9,"0.402",2.6,5.4,"0.473","0.518",1.4,1.7,"0.86",0.3,2,2.3,2,1,0.2,1,1.7,10.1
"451",451,451,"malcolm lee","SG",24,"PHI",1,0,2,0,1,"0",0,0,"NA",0,1,"0","0",0,0,"NA",0,0,0,0,0,0,0,0,0
"452",452,452,"devyn marble","SG",22,"ORL",16,7,13,0.9,2.8,"0.318",0.3,1.4,"0.182",0.6,1.4,"0.455","0.364",0.3,1,"0.313",0.3,1.6,1.9,1.1,0.6,0.1,0.6,0.9,2.3
"453",453,453,"kevin martin","SG",31,"MIN",39,36,33.4,6.8,16,"0.427",1.9,4.9,"0.393",4.9,11.1,"0.442","0.487",4.4,4.9,"0.881",0.5,3.2,3.6,2.3,0.8,0,1.9,1.9,20
"454",454,454,"wesley matthews","SG",28,"POR",60,60,33.7,5.6,12.5,"0.448",2.9,7.4,"0.389",2.7,5.1,"0.534","0.563",1.8,2.4,"0.752",0.6,3.1,3.7,2.3,1.3,0.2,1.4,2.2,15.9
"455",455,455,"oj mayo","SG",27,"MIL",71,15,23.9,4.2,9.9,"0.422",1.4,3.9,"0.357",2.8,6,"0.465","0.493",1.6,2,"0.827",0.4,2.2,2.6,2.8,0.8,0.3,1.8,2.3,11.4
"456",456,456,"cj mccollum","SG",23,"POR",62,3,15.7,2.6,5.9,"0.436",0.9,2.2,"0.396",1.7,3.6,"0.46","0.511",0.8,1.2,"0.699",0.2,1.2,1.5,1,0.7,0.1,0.8,1.3,6.8
"457",457,457,"kj mcdaniels","SG",21,"TOT",62,15,21.8,2.8,7,"0.396",0.7,2.4,"0.287",2.1,4.6,"0.454","0.446",1.6,2.1,"0.752",1,2.2,3.2,1.2,0.7,1.1,1.7,2,7.9
"458",458,458,"ben mclemore","SG",21,"SAC",82,82,32.6,4.4,10.1,"0.437",1.7,4.8,"0.358",2.7,5.4,"0.507","0.521",1.6,2,"0.813",0.4,2.6,2.9,1.7,0.9,0.2,1.7,2.7,12.1
"459",459,459,"jodie meeks","SG",27,"DET",60,0,24.4,3.7,8.9,"0.416",1.2,3.5,"0.349",2.5,5.4,"0.46","0.485",2.4,2.7,"0.906",0.2,1.5,1.7,1.3,1,0.1,1,1.3,11.1
"460",460,460,"cj miles","SG",27,"IND",70,40,26.3,4.7,11.8,"0.398",2.2,6.4,"0.345",2.5,5.4,"0.459","0.491",1.9,2.3,"0.807",0.3,2.8,3.1,1.1,0.9,0.4,1,1.9,13.5
"461",461,461,"elijah millsap","SG",27,"UTA",47,5,19.7,1.7,5.1,"0.34",0.6,1.9,"0.311",1.1,3.1,"0.358","0.399",1.2,1.8,"0.674",0.6,2.6,3.2,1.2,1.2,0.3,1.4,2.6,5.3
"462",462,462,"etwaun moore","SG",25,"CHI",56,0,9,1.1,2.5,"0.446",0.2,0.7,"0.342",0.9,1.8,"0.485","0.493",0.2,0.4,"0.6",0.2,0.6,0.8,0.6,0.4,0.1,0.3,0.8,2.7
"463",463,463,"anthony morrow","SG",29,"OKC",74,0,24.4,3.9,8.3,"0.463",1.9,4.4,"0.434",1.9,3.9,"0.497","0.578",1.1,1.2,"0.888",0.5,2.1,2.6,0.8,0.7,0.1,0.5,1.8,10.7
"464",464,464,"shabazz muhammad","SG",22,"MIN",38,13,22.8,5.1,10.4,"0.489",0.5,1.3,"0.392",4.6,9.1,"0.503","0.514",2.7,3.8,"0.717",1.7,2.4,4.1,1.2,0.5,0.2,0.9,1.3,13.5
"465",465,465,"gary neal","SG",30,"TOT",54,1,22.1,3.5,9.3,"0.374",0.9,3,"0.305",2.6,6.3,"0.407","0.423",2.2,2.5,"0.867",0.3,2.1,2.4,1.9,0.4,0,1.2,1.6,10.1
"466",466,466,"victor oladipo","SG",22,"ORL",72,71,35.7,6.6,15.1,"0.436",1.2,3.4,"0.339",5.4,11.6,"0.464","0.474",3.6,4.4,"0.819",0.7,3.5,4.2,4.1,1.7,0.3,2.8,2.6,17.9
"467",467,467,"jj redick","SG",30,"LAC",78,78,30.9,5.7,12,"0.477",2.6,5.9,"0.437",3.2,6.2,"0.515","0.583",2.3,2.6,"0.901",0.3,1.9,2.1,1.8,0.5,0.1,1.2,1.7,16.4
"468",468,468,"glen rice","SG",24,"WAS",5,0,8.6,0.6,3,"0.2",0.2,1.4,"0.143",0.4,1.6,"0.25","0.233",0.8,1.2,"0.667",0.4,0.4,0.8,0.4,0,0,0.4,2.2,2.2
"469",469,469,"jason richardson","SG",34,"PHI",19,15,21.9,3.3,9.4,"0.348",1.6,5.1,"0.323",1.6,4.3,"0.378","0.435",0.9,1.2,"0.773",0.7,2.8,3.5,2,0.7,0.2,0.8,1.5,9.1
"470",470,470,"andre roberson","SG",23,"OKC",67,65,19.2,1.4,3,"0.458",0.3,1.3,"0.247",1.1,1.7,"0.612","0.51",0.3,0.7,"0.479",0.9,2.9,3.8,1,0.8,0.4,0.7,2.1,3.4
"471",471,471,"brandon rush","SG",29,"GSW",33,0,8.2,0.3,1.6,"0.204",0.1,0.8,"0.111",0.2,0.8,"0.296","0.231",0.2,0.3,"0.455",0.1,1.1,1.2,0.4,0.2,0.4,0.3,0.8,0.9
"472",472,472,"iman shumpert","SG",24,"TOT",62,25,24.9,3.1,7.6,"0.41",1.1,3.2,"0.342",2,4.4,"0.458","0.481",0.7,1,"0.672",0.9,2.7,3.6,2.2,1.3,0.3,1.5,2.2,8
"473",473,473,"alexey shved","SG",26,"TOT",42,9,18.3,3.2,8,"0.397",1.1,3.3,"0.338",2,4.7,"0.439","0.467",2.9,3.6,"0.807",0.5,1.8,2.4,2.5,0.7,0.1,1.1,1.1,10.3
"474",474,474,"jr smith","SG",29,"TOT",70,51,29.7,4.5,10.8,"0.417",2.3,6.1,"0.383",2.2,4.7,"0.462","0.525",0.8,1,"0.75",0.4,2.7,3.1,2.8,1.2,0.3,1.4,2.3,12.1
"475",475,475,"nik stauskas","SG",21,"SAC",73,1,15.4,1.5,4.1,"0.365",0.7,2,"0.322",0.8,2,"0.408","0.446",0.8,0.9,"0.859",0.2,1.1,1.2,0.9,0.3,0.2,0.5,1.3,4.4
"476",476,476,"lance stephenson","SG",24,"CHO",61,25,25.8,3.4,9,"0.376",0.3,1.7,"0.171",3.1,7.3,"0.425","0.393",1.1,1.8,"0.627",0.6,3.9,4.5,3.9,0.6,0.1,2.1,2.2,8.2
"477",477,477,"garrett temple","SG",28,"WAS",52,18,14.1,1.3,3.3,"0.4",0.6,1.7,"0.375",0.7,1.6,"0.427","0.497",0.7,0.9,"0.729",0.5,1.3,1.7,1.1,0.8,0.2,0.7,1.5,3.9
"478",478,478,"jason terry","SG",37,"HOU",77,18,21.3,2.4,5.8,"0.422",1.6,4.2,"0.39",0.8,1.6,"0.504","0.563",0.5,0.6,"0.813",0.2,1.4,1.6,1.9,0.9,0.2,1,1.5,7
"479",479,479,"hollis thompson","SG",23,"PHI",71,23,25,3.2,7.6,"0.413",1.6,4,"0.401",1.5,3.6,"0.426","0.518",0.9,1.3,"0.708",0.7,2,2.8,1.2,0.8,0.4,0.9,2,8.8
"480",480,480,"klay thompson","SG",24,"GSW",77,77,31.9,7.8,16.9,"0.463",3.1,7.1,"0.439",4.7,9.8,"0.481","0.555",2.9,3.3,"0.879",0.4,2.9,3.2,2.9,1.1,0.8,1.9,1.6,21.7
"481",481,481,"marcus thornton","SG",27,"TOT",48,0,15,2.9,7.2,"0.406",1.1,3,"0.378",1.8,4.2,"0.426","0.484",1,1.2,"0.821",0.5,1.3,1.8,0.8,0.6,0.1,0.6,0.8,7.9
"482",482,482,"evan turner","SG",26,"BOS",82,57,27.6,3.9,9.1,"0.429",0.4,1.5,"0.277",3.5,7.6,"0.458","0.451",1.3,1.7,"0.752",0.5,4.6,5.1,5.5,1,0.2,2.4,2.2,9.5
"483",483,483,"dwyane wade","SG",33,"MIA",62,62,31.8,8.2,17.5,"0.47",0.5,1.6,"0.284",7.7,15.8,"0.489","0.483",4.6,6,"0.768",0.9,2.6,3.5,4.8,1.2,0.3,3.4,1.7,21.5
"484",484,484,"dion waiters","SG",23,"TOT",80,23,27.6,4.7,11.8,"0.396",0.9,3.1,"0.297",3.8,8.8,"0.431","0.435",1.5,2.2,"0.68",0.5,1.9,2.4,2,1.1,0.3,1.4,1.9,11.8
"485",485,485,"cj wilcox","SG",24,"LAC",21,0,4.8,0.8,1.8,"0.421",0.3,0.9,"0.368",0.4,0.9,"0.474","0.513",0.1,0.1,"1",0,0.3,0.3,0.4,0.1,0,0.5,0.3,2
"486",486,486,"elliot williams","SG",25,"TOT",13,0,9.2,1.1,2.8,"0.378",0.6,1.4,"0.444",0.5,1.5,"0.316","0.486",0.1,0.3,"0.25",0,0.6,0.6,0.9,0.3,0,0.3,0.9,2.8
"487",487,487,"lou williams","SG",28,"TOR",80,0,25.2,4.7,11.6,"0.404",1.9,5.6,"0.34",2.8,6,"0.464","0.486",4.3,4.9,"0.861",0.3,1.6,1.9,2.1,1.1,0.1,1.3,1.3,15.5
"488",488,488,"james young","SG",19,"BOS",31,0,10.7,1.2,3.3,"0.353",0.5,2.1,"0.258",0.6,1.2,"0.528","0.436",0.5,0.9,"0.552",0.3,1.1,1.4,0.4,0.3,0.1,0.2,0.7,3.4
"489",489,489,"nick young","SG",29,"LAL",42,0,23.8,4.1,11.3,"0.366",2,5.4,"0.369",2.2,6,"0.363","0.453",3.1,3.5,"0.892",0.4,1.9,2.3,1,0.5,0.3,1,2,13.4
"490",490,490,"goran dragic","SG",28,"TOT",78,78,33.8,6.4,12.8,"0.501",1.2,3.3,"0.347",5.3,9.5,"0.555","0.546",2.3,3,"0.774",1,2.5,3.5,4.5,1,0.2,2.2,2.5,16.3
"491",491,491,"toure murry","SG",25,"TOT",5,0,3.6,0.4,1,"0.4",0,0,"NA",0.4,1,"0.4","0.4",0.4,0.4,"1",0.2,0,0.2,0.2,0.2,0,0.8,0.4,1.2
"492",492,492,"glenn robinson","SG",21,"TOT",35,1,7.5,0.7,1.9,"0.388",0.1,0.5,"0.263",0.6,1.4,"0.438","0.425",0.5,0.7,"0.667",0.4,0.7,1.1,0.3,0.2,0,0.3,0.4,2.1
