"","X","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G"
"127",127,127,"tyler hansbrough","PF",29,"TOR",74,8,14.3,1.2,2.2,"0.521",0,0.1,"0.143",1.1,2.1,"0.538","0.524",1.3,1.9,"0.698",1.4,2.1,3.6,0.3,0.4,0.2,0.3,1.9,3.6
"128",128,128,"udonis haslem","PF",34,"MIA",62,25,16,1.7,3.9,"0.448",0,0.2,"0.2",1.7,3.7,"0.459","0.452",0.7,1,"0.703",1.1,3,4.2,0.7,0.3,0.2,0.7,1.8,4.2
"129",129,129,"spencer hawes","PF",26,"LAC",73,15,17.5,2.2,5.7,"0.393",0.8,2.4,"0.313",1.5,3.3,"0.452","0.459",0.6,0.9,"0.647",0.4,3.1,3.5,1.2,0.3,0.7,0.8,2.4,5.8
"130",130,130,"nene hilario","PF",32,"WAS",67,58,25.3,4.6,9,"0.511",0,0.1,"0.2",4.6,8.9,"0.513","0.512",1.8,3,"0.604",1.3,3.9,5.1,1.8,1,0.3,1.9,2.7,11
"131",131,131,"kris humphries","PF",29,"WAS",64,17,21,3.3,7,"0.473",0,0.1,"0",3.3,6.9,"0.481","0.473",1.4,1.8,"0.744",1.8,4.7,6.5,0.9,0.5,0.4,0.7,2,8
"132",132,132,"serge ibaka","PF",25,"OKC",64,64,33.1,5.8,12.3,"0.476",1.2,3.2,"0.376",4.6,9.1,"0.511","0.525",1.4,1.7,"0.836",2.1,5.7,7.8,0.9,0.5,2.4,1.5,3,14.3
"133",133,133,"ersan ilyasova","PF",27,"MIL",58,36,22.7,4.5,9.6,"0.472",1.3,3.3,"0.389",3.3,6.3,"0.515","0.539",1.2,1.8,"0.645",1.4,3.4,4.8,1,0.6,0.3,0.8,2.6,11.5
"134",134,134,"cory jefferson","PF",24,"BRK",50,1,10.6,1.5,3.3,"0.449",0,0.3,"0.133",1.5,3,"0.48","0.455",0.6,1.1,"0.574",0.9,2,2.9,0.3,0.2,0.4,0.4,1.2,3.7
"135",135,135,"jonas jerebko","PF",27,"TOT",75,0,16.4,2.3,5.1,"0.446",0.7,1.9,"0.386",1.5,3.2,"0.481","0.517",0.7,0.9,"0.848",1.2,2.5,3.8,0.9,0.6,0.2,0.6,1.8,6
"136",136,136,"grant jerrett","PF",21,"TOT",8,0,6.4,0.9,3.3,"0.269",0.1,1.9,"0.067",0.8,1.4,"0.545","0.288",0.1,0.1,"1",0.3,0.9,1.1,0.4,0.3,0.3,0.4,1.4,2
"137",137,137,"amir johnson","PF",27,"TOR",75,72,26.4,4,6.9,"0.574",0.3,0.6,"0.413",3.7,6.3,"0.59","0.592",1.1,1.7,"0.612",2.1,4,6.1,1.6,0.6,0.8,1.5,3,9.3
"138",138,138,"james johnson","PF",27,"TOR",70,17,19.6,3.4,5.8,"0.589",0.2,0.7,"0.216",3.2,5,"0.643","0.603",1,1.5,"0.657",0.9,2.8,3.7,1.4,0.8,1,1.1,2.2,7.9
"139",139,139,"terrence jones","PF",23,"HOU",33,24,26.9,4.8,9.1,"0.528",0.4,1.1,"0.351",4.4,7.9,"0.553","0.55",1.7,2.8,"0.606",2.4,4.3,6.7,1.1,0.5,1.8,1.1,2.4,11.7
"140",140,140,"ryan kelly","PF",23,"LAL",52,34,23.7,2,5.9,"0.337",0.9,2.6,"0.336",1.1,3.4,"0.337","0.409",1.5,1.8,"0.832",0.3,2.6,2.8,1.8,0.6,0.5,0.7,2.3,6.4
"141",141,141,"carl landry","PF",31,"SAC",70,15,17,2.7,5.3,"0.515",0,0,"NA",2.7,5.3,"0.515","0.515",1.8,2.1,"0.82",1.4,2.4,3.8,0.4,0.2,0.2,0.8,1.9,7.2
"142",142,142,"david lee","PF",31,"GSW",49,4,18.4,3.3,6.4,"0.511",0,0,"0",3.3,6.3,"0.514","0.511",1.4,2.1,"0.654",1.7,3.6,5.2,1.7,0.6,0.5,1,1.7,7.9
"143",143,143,"jon leuer","PF",25,"MEM",63,6,13.1,1.9,4.3,"0.443",0.1,0.5,"0.241",1.8,3.9,"0.467","0.456",0.6,0.9,"0.627",0.8,2.5,3.3,0.7,0.3,0.1,0.6,1.4,4.5
"144",144,144,"kevin love","PF",26,"CLE",75,75,33.8,5.5,12.7,"0.434",1.9,5.2,"0.367",3.6,7.5,"0.48","0.509",3.4,4.3,"0.804",1.9,7.9,9.7,2.2,0.7,0.5,1.6,1.9,16.4
"145",145,145,"kenyon martin","PF",37,"MIL",11,0,9.5,0.8,2,"0.409",0,0,"NA",0.8,2,"0.409","0.409",0.2,0.2,"1",0.5,1.2,1.7,0.5,0.5,0.5,0.3,1.2,1.8
"146",146,146,"jason maxiell","PF",31,"CHO",61,0,14.4,1.3,3.1,"0.422",0,0,"NA",1.3,3.1,"0.422","0.422",0.7,1.2,"0.577",1.4,1.9,3.3,0.3,0.3,0.7,0.5,1.6,3.3
"147",147,147,"luc mbah a moute","PF",28,"PHI",67,61,28.6,3.7,9.5,"0.395",0.9,3,"0.307",2.8,6.5,"0.435","0.443",1.4,2.4,"0.589",1.2,3.7,4.9,1.6,1.2,0.3,1.5,1.6,9.9
"148",148,148,"james michael mcadoo","PF",22,"GSW",15,0,9.1,1.6,2.9,"0.545",0,0,"NA",1.6,2.9,"0.545","0.545",0.9,1.7,"0.56",1,1.5,2.5,0.1,0.3,0.6,0.4,1.4,4.1
"149",149,149,"mitch mcgary","PF",22,"OKC",32,2,15.2,2.8,5.2,"0.533",0,0.1,"0",2.8,5.1,"0.54","0.533",0.8,1.3,"0.625",1.7,3.5,5.2,0.4,0.5,0.5,1,2.3,6.3
"150",150,150,"josh mcroberts","PF",27,"MIA",17,4,17.4,1.6,3.1,"0.528",0.5,1.1,"0.421",1.2,2,"0.588","0.604",0.5,0.8,"0.615",0.4,2.2,2.6,1.9,0.7,0.2,1.3,2.4,4.2
"151",151,151,"quincy miller","PF",22,"TOT",10,0,11.9,0.9,3.8,"0.237",0.3,1.8,"0.167",0.6,2,"0.3","0.276",0.8,1.1,"0.727",0.4,1.6,2,0.8,0.7,0.5,0.5,0.9,2.9
"152",152,152,"paul millsap","PF",29,"ATL",73,73,32.7,6.1,12.7,"0.476",1.1,3,"0.356",5,9.8,"0.513","0.518",3.5,4.6,"0.757",1.9,5.9,7.8,3.1,1.8,0.9,2.3,2.8,16.7
"153",153,153,"nikola mirotic","PF",23,"CHI",82,3,20.2,3.1,7.6,"0.405",1.2,3.8,"0.316",1.9,3.8,"0.495","0.485",2.8,3.5,"0.803",0.8,4.2,4.9,1.2,0.7,0.7,1.1,2.1,10.2
"154",154,154,"greg monroe","PF",24,"DET",69,57,31,6.1,12.4,"0.496",0,0,"NA",6.1,12.4,"0.496","0.496",3.7,4.9,"0.75",3.3,6.9,10.2,2.1,1.1,0.5,2.2,2.1,15.9
